Temperature,Humidity
Temperature: 26.40 °C, Humidity: 79.20 %
26.40,79.20
Temperature: 26.20 °C, Humidity: 72.30 %
26.20,72.30
Temperature: 26.20 °C, Humidity: 72.30 %
26.20,72.30
Temperature: 26.20 °C, Humidity: 70.80 %
26.20,70.80
Temperature: 26.20 °C, Humidity: 70.80 %
26.20,70.80
Temperature: 26.20 °C, Humidity: 70.60 %
26.20,70.60
Temperature: 26.20 °C, Humidity: 70.60 %
26.20,70.60
Temperature: 26.10 °C, Humidity: 70.40 %
26.10,70.40
Temperature: 26.10 °C, Humidity: 70.40 %
26.10,70.40
Temperature: 26.10 °C, Humidity: 70.10 %
26.10,70.10
Temperature: 26.10 °C, Humidity: 70.10 %
26.10,70.10
Temperature: 26.00 °C, Humidity: 69.90 %
26.00,69.90
Temperature: 26.00 °C, Humidity: 69.90 %
26.00,69.90
Temperature: 26.00 °C, Humidity: 69.40 %
26.00,69.40
Temperature: 26.00 °C, Humidity: 69.40 %
26.00,69.40
Temperature: 25.90 °C, Humidity: 68.80 %
25.90,68.80
Temperature: 25.90 °C, Humidity: 68.80 %
25.90,68.80
Temperature: 25.90 °C, Humidity: 68.20 %
25.90,68.20
Temperature: 25.90 °C, Humidity: 68.20 %
25.90,68.20
Temperature: 25.90 °C, Humidity: 67.70 %
25.90,67.70
Temperature: 25.90 °C, Humidity: 67.70 %
25.90,67.70
Temperature: 25.90 °C, Humidity: 66.90 %
25.90,66.90
Temperature: 25.90 °C, Humidity: 66.90 %
25.90,66.90
Temperature: 25.90 °C, Humidity: 66.40 %
25.90,66.40
Temperature: 25.90 °C, Humidity: 66.40 %
25.90,66.40
Temperature: 25.90 °C, Humidity: 65.80 %
25.90,65.80
Temperature: 25.90 °C, Humidity: 65.80 %
25.90,65.80
Temperature: 25.80 °C, Humidity: 65.10 %
25.80,65.10
Temperature: 25.80 °C, Humidity: 65.10 %
25.80,65.10
Temperature: 25.80 °C, Humidity: 64.60 %
25.80,64.60
Temperature: 25.80 °C, Humidity: 64.60 %
25.80,64.60
Temperature: 25.80 °C, Humidity: 64.30 %
25.80,64.30
Temperature: 25.80 °C, Humidity: 64.30 %
25.80,64.30
Temperature: 25.80 °C, Humidity: 63.90 %
25.80,63.90
Temperature: 25.80 °C, Humidity: 63.90 %
25.80,63.90
Temperature: 25.80 °C, Humidity: 63.70 %
25.80,63.70
Temperature: 25.80 °C, Humidity: 63.70 %
25.80,63.70
Temperature: 25.80 °C, Humidity: 63.30 %
25.80,63.30
Temperature: 25.80 °C, Humidity: 63.30 %
25.80,63.30
Temperature: 25.90 °C, Humidity: 63.00 %
25.90,63.00
Temperature: 25.90 °C, Humidity: 63.00 %
25.90,63.00
Temperature: 25.90 °C, Humidity: 62.50 %
25.90,62.50
Temperature: 25.90 °C, Humidity: 62.50 %
25.90,62.50
Temperature: 25.80 °C, Humidity: 62.40 %
25.80,62.40
Temperature: 25.80 °C, Humidity: 62.40 %
25.80,62.40
Temperature: 25.90 °C, Humidity: 62.60 %
25.90,62.60
Temperature: 25.90 °C, Humidity: 62.60 %
25.90,62.60
Temperature: 25.90 °C, Humidity: 61.30 %
25.90,61.30
Temperature: 25.90 °C, Humidity: 61.30 %
25.90,61.30
Temperature: 26.00 °C, Humidity: 60.50 %
26.00,60.50
Temperature: 26.00 °C, Humidity: 60.50 %
26.00,60.50
Temperature: 26.10 °C, Humidity: 59.90 %
26.10,59.90
Temperature: 26.10 °C, Humidity: 59.90 %
26.10,59.90
Temperature: 26.00 °C, Humidity: 59.50 %
26.00,59.50
Temperature: 26.00 °C, Humidity: 59.50 %
26.00,59.50
Temperature: 26.00 °C, Humidity: 59.10 %
26.00,59.10
Temperature: 26.00 °C, Humidity: 59.10 %
26.00,59.10
Temperature: 25.90 °C, Humidity: 58.80 %
25.90,58.80
Temperature: 25.90 °C, Humidity: 58.80 %
25.90,58.80
Temperature: 25.90 °C, Humidity: 58.30 %
25.90,58.30
Temperature: 25.90 °C, Humidity: 58.30 %
25.90,58.30
Temperature: 25.70 °C, Humidity: 57.80 %
25.70,57.80
Temperature: 25.70 °C, Humidity: 57.80 %
25.70,57.80
Temperature: 25.70 °C, Humidity: 57.40 %
25.70,57.40
Temperature: 25.70 °C, Humidity: 57.40 %
25.70,57.40
Temperature: 25.60 °C, Humidity: 57.00 %
25.60,57.00
Temperature: 25.60 °C, Humidity: 57.00 %
25.60,57.00
Temperature: 25.50 °C, Humidity: 56.50 %
25.50,56.50
Temperature: 25.50 °C, Humidity: 56.50 %
25.50,56.50
Temperature: 25.40 °C, Humidity: 56.30 %
25.40,56.30
Temperature: 25.40 °C, Humidity: 56.30 %
25.40,56.30
Temperature: 25.30 °C, Humidity: 55.80 %
25.30,55.80
Temperature: 25.30 °C, Humidity: 55.80 %
25.30,55.80
Temperature: 25.30 °C, Humidity: 55.20 %
25.30,55.20
Temperature: 25.30 °C, Humidity: 55.20 %
25.30,55.20
Temperature: 25.20 °C, Humidity: 55.00 %
25.20,55.00
Temperature: 25.20 °C, Humidity: 55.00 %
25.20,55.00
Temperature: 25.10 °C, Humidity: 54.60 %
25.10,54.60
Temperature: 25.10 °C, Humidity: 54.60 %
25.10,54.60
Temperature: 25.00 °C, Humidity: 54.20 %
25.00,54.20
Temperature: 25.00 °C, Humidity: 54.20 %
25.00,54.20
Temperature: 24.90 °C, Humidity: 53.90 %
24.90,53.90
Temperature: 24.90 °C, Humidity: 53.90 %
24.90,53.90
Temperature: 24.80 °C, Humidity: 53.70 %
24.80,53.70
Temperature: 24.80 °C, Humidity: 53.70 %
24.80,53.70
Temperature: 24.70 °C, Humidity: 53.30 %
24.70,53.30
Temperature: 24.70 °C, Humidity: 53.30 %
24.70,53.30
Temperature: 24.60 °C, Humidity: 53.10 %
24.60,53.10
Temperature: 24.60 °C, Humidity: 53.10 %
24.60,53.10
Temperature: 24.60 °C, Humidity: 52.90 %
24.60,52.90
Temperature: 24.60 °C, Humidity: 52.90 %
24.60,52.90
Temperature: 24.50 °C, Humidity: 52.90 %
24.50,52.90
Temperature: 24.50 °C, Humidity: 52.90 %
24.50,52.90
Temperature: 24.40 °C, Humidity: 52.60 %
24.40,52.60
Temperature: 24.40 °C, Humidity: 52.60 %
24.40,52.60
Temperature: 24.30 °C, Humidity: 52.70 %
24.30,52.70
Temperature: 24.30 °C, Humidity: 52.70 %
24.30,52.70
Temperature: 24.20 °C, Humidity: 52.50 %
24.20,52.50
Temperature: 24.20 °C, Humidity: 52.50 %
24.20,52.50
Temperature: 24.10 °C, Humidity: 52.50 %
24.10,52.50
Temperature: 24.10 °C, Humidity: 52.50 %
24.10,52.50
Temperature: 24.10 °C, Humidity: 52.50 %
24.10,52.50
Temperature: 24.10 °C, Humidity: 52.50 %
24.10,52.50
Temperature: 24.00 °C, Humidity: 52.40 %
24.00,52.40
Temperature: 24.00 °C, Humidity: 52.40 %
24.00,52.40
Temperature: 23.90 °C, Humidity: 52.30 %
23.90,52.30
Temperature: 23.90 °C, Humidity: 52.30 %
23.90,52.30
Temperature: 23.90 °C, Humidity: 52.10 %
23.90,52.10
Temperature: 23.90 °C, Humidity: 52.10 %
23.90,52.10
Temperature: 23.80 °C, Humidity: 52.10 %
23.80,52.10
Temperature: 23.80 °C, Humidity: 52.10 %
23.80,52.10
Temperature: 23.80 °C, Humidity: 52.00 %
23.80,52.00
Temperature: 23.80 °C, Humidity: 52.00 %
23.80,52.00
Temperature: 23.70 °C, Humidity: 51.70 %
23.70,51.70
Temperature: 23.70 °C, Humidity: 51.70 %
23.70,51.70
Temperature: 23.60 °C, Humidity: 51.40 %
23.60,51.40
Temperature: 23.60 °C, Humidity: 51.40 %
23.60,51.40
Temperature: 23.50 °C, Humidity: 51.20 %
23.50,51.20
Temperature: 23.50 °C, Humidity: 51.20 %
23.50,51.20
Temperature: 23.50 °C, Humidity: 50.90 %
23.50,50.90
Temperature: 23.50 °C, Humidity: 50.90 %
23.50,50.90
Temperature: 23.40 °C, Humidity: 50.60 %
23.40,50.60
Temperature: 23.40 °C, Humidity: 50.60 %
23.40,50.60
Temperature: 23.30 °C, Humidity: 50.60 %
23.30,50.60
Temperature: 23.30 °C, Humidity: 50.60 %
23.30,50.60
Temperature: 23.30 °C, Humidity: 50.30 %
23.30,50.30
Temperature: 23.30 °C, Humidity: 50.30 %
23.30,50.30
Temperature: 23.20 °C, Humidity: 50.40 %
23.20,50.40
Temperature: 23.20 °C, Humidity: 50.40 %
23.20,50.40
Temperature: 23.10 °C, Humidity: 50.10 %
23.10,50.10
Temperature: 23.10 °C, Humidity: 50.10 %
23.10,50.10
Temperature: 23.10 °C, Humidity: 50.10 %
23.10,50.10
Temperature: 23.10 °C, Humidity: 50.10 %
23.10,50.10
Temperature: 23.00 °C, Humidity: 50.00 %
23.00,50.00
Temperature: 23.00 °C, Humidity: 50.00 %
23.00,50.00
Temperature: 23.00 °C, Humidity: 49.90 %
23.00,49.90
Temperature: 23.00 °C, Humidity: 49.90 %
23.00,49.90
Temperature: 22.90 °C, Humidity: 49.80 %
22.90,49.80
Temperature: 22.90 °C, Humidity: 49.80 %
22.90,49.80
Temperature: 22.90 °C, Humidity: 49.80 %
22.90,49.80
Temperature: 22.90 °C, Humidity: 49.80 %
22.90,49.80
Temperature: 22.80 °C, Humidity: 49.70 %
22.80,49.70
Temperature: 22.80 °C, Humidity: 49.70 %
22.80,49.70
Temperature: 22.70 °C, Humidity: 49.90 %
22.70,49.90
Temperature: 22.70 °C, Humidity: 49.90 %
22.70,49.90
Temperature: 22.60 °C, Humidity: 49.80 %
22.60,49.80
Temperature: 22.60 °C, Humidity: 49.80 %
22.60,49.80
Temperature: 22.60 °C, Humidity: 49.80 %
22.60,49.80
Temperature: 22.60 °C, Humidity: 49.80 %
22.60,49.80
Temperature: 22.50 °C, Humidity: 50.00 %
22.50,50.00
Temperature: 22.50 °C, Humidity: 50.00 %
22.50,50.00
Temperature: 22.50 °C, Humidity: 49.80 %
22.50,49.80
Temperature: 22.50 °C, Humidity: 49.80 %
22.50,49.80
Temperature: 22.40 °C, Humidity: 49.90 %
22.40,49.90
Temperature: 22.40 °C, Humidity: 49.90 %
22.40,49.90
Temperature: 22.30 °C, Humidity: 49.80 %
22.30,49.80
Temperature: 22.30 °C, Humidity: 49.80 %
22.30,49.80
Temperature: 22.30 °C, Humidity: 49.70 %
22.30,49.70
Temperature: 22.30 °C, Humidity: 49.70 %
22.30,49.70
Temperature: 22.20 °C, Humidity: 49.70 %
22.20,49.70
Temperature: 22.20 °C, Humidity: 49.70 %
22.20,49.70
Temperature: 22.20 °C, Humidity: 49.70 %
22.20,49.70
Temperature: 22.20 °C, Humidity: 49.70 %
22.20,49.70
Temperature: 22.10 °C, Humidity: 49.70 %
22.10,49.70
Temperature: 22.10 °C, Humidity: 49.70 %
22.10,49.70
Temperature: 22.10 °C, Humidity: 49.60 %
22.10,49.60
Temperature: 22.10 °C, Humidity: 49.60 %
22.10,49.60
Temperature: 22.00 °C, Humidity: 49.70 %
22.00,49.70
Temperature: 22.00 °C, Humidity: 49.70 %
22.00,49.70
Temperature: 22.00 °C, Humidity: 49.80 %
22.00,49.80
Temperature: 22.00 °C, Humidity: 49.80 %
22.00,49.80
Temperature: 21.90 °C, Humidity: 49.80 %
21.90,49.80
Temperature: 21.90 °C, Humidity: 49.80 %
21.90,49.80
Temperature: 21.90 °C, Humidity: 49.70 %
21.90,49.70
Temperature: 21.90 °C, Humidity: 49.70 %
21.90,49.70
Temperature: 21.80 °C, Humidity: 49.70 %
21.80,49.70
Temperature: 21.80 °C, Humidity: 49.70 %
21.80,49.70
Temperature: 21.70 °C, Humidity: 49.90 %
21.70,49.90
Temperature: 21.70 °C, Humidity: 49.90 %
21.70,49.90
Temperature: 21.70 °C, Humidity: 49.90 %
21.70,49.90
Temperature: 21.70 °C, Humidity: 49.90 %
21.70,49.90
Temperature: 21.60 °C, Humidity: 49.90 %
21.60,49.90
Temperature: 21.60 °C, Humidity: 49.90 %
21.60,49.90
Temperature: 21.60 °C, Humidity: 50.10 %
21.60,50.10
Temperature: 21.60 °C, Humidity: 50.10 %
21.60,50.10
Temperature: 21.60 °C, Humidity: 50.00 %
21.60,50.00
Temperature: 21.60 °C, Humidity: 50.00 %
21.60,50.00
Temperature: 21.50 °C, Humidity: 50.00 %
21.50,50.00
Temperature: 21.50 °C, Humidity: 50.00 %
21.50,50.00
Temperature: 21.50 °C, Humidity: 50.10 %
21.50,50.10
Temperature: 21.50 °C, Humidity: 50.10 %
21.50,50.10
Temperature: 21.50 °C, Humidity: 50.00 %
21.50,50.00
Temperature: 21.50 °C, Humidity: 50.00 %
21.50,50.00
Temperature: 21.30 °C, Humidity: 50.20 %
21.30,50.20
Temperature: 21.30 °C, Humidity: 50.20 %
21.30,50.20
Temperature: 21.40 °C, Humidity: 50.20 %
21.40,50.20
Temperature: 21.40 °C, Humidity: 50.20 %
21.40,50.20
Temperature: 21.30 °C, Humidity: 50.20 %
21.30,50.20
Temperature: 21.30 °C, Humidity: 50.20 %
21.30,50.20
Temperature: 21.20 °C, Humidity: 50.30 %
21.20,50.30
Temperature: 21.20 °C, Humidity: 50.30 %
21.20,50.30
Temperature: 21.20 °C, Humidity: 50.40 %
21.20,50.40
Temperature: 21.20 °C, Humidity: 50.40 %
21.20,50.40
Temperature: 21.10 °C, Humidity: 50.30 %
21.10,50.30
Temperature: 21.10 °C, Humidity: 50.30 %
21.10,50.30
Temperature: 21.10 °C, Humidity: 50.40 %
21.10,50.40
Temperature: 21.10 °C, Humidity: 50.40 %
21.10,50.40
Temperature: 21.00 °C, Humidity: 50.60 %
21.00,50.60
Temperature: 21.00 °C, Humidity: 50.60 %
21.00,50.60
Temperature: 21.00 °C, Humidity: 50.30 %
21.00,50.30
Temperature: 21.00 °C, Humidity: 50.30 %
21.00,50.30
Temperature: 20.90 °C, Humidity: 50.60 %
20.90,50.60
Temperature: 20.90 °C, Humidity: 50.60 %
20.90,50.60
Temperature: 20.90 °C, Humidity: 50.60 %
20.90,50.60
Temperature: 20.90 °C, Humidity: 50.60 %
20.90,50.60
Temperature: 20.80 °C, Humidity: 50.70 %
20.80,50.70
Temperature: 20.80 °C, Humidity: 50.70 %
20.80,50.70
Temperature: 20.80 °C, Humidity: 50.60 %
20.80,50.60
Temperature: 20.80 °C, Humidity: 50.60 %
20.80,50.60
Temperature: 20.80 °C, Humidity: 50.50 %
20.80,50.50
Temperature: 20.80 °C, Humidity: 50.50 %
20.80,50.50
Temperature: 20.80 °C, Humidity: 50.50 %
20.80,50.50
Temperature: 20.80 °C, Humidity: 50.50 %
20.80,50.50
Temperature: 20.70 °C, Humidity: 50.60 %
20.70,50.60
Temperature: 20.70 °C, Humidity: 50.60 %
20.70,50.60
Temperature: 20.70 °C, Humidity: 50.60 %
20.70,50.60
Temperature: 20.70 °C, Humidity: 50.60 %
20.70,50.60
Temperature: 20.60 °C, Humidity: 50.70 %
20.60,50.70
Temperature: 20.60 °C, Humidity: 50.70 %
20.60,50.70
Temperature: 20.60 °C, Humidity: 50.60 %
20.60,50.60
Temperature: 20.60 °C, Humidity: 50.60 %
20.60,50.60
Temperature: 20.60 °C, Humidity: 50.60 %
20.60,50.60
Temperature: 20.60 °C, Humidity: 50.60 %
20.60,50.60
Temperature: 20.50 °C, Humidity: 50.90 %
20.50,50.90
Temperature: 20.50 °C, Humidity: 50.90 %
20.50,50.90
Temperature: 20.50 °C, Humidity: 50.80 %
20.50,50.80
Temperature: 20.50 °C, Humidity: 50.80 %
20.50,50.80
Temperature: 20.40 °C, Humidity: 50.90 %
20.40,50.90
Temperature: 20.40 °C, Humidity: 50.90 %
20.40,50.90
Temperature: 20.40 °C, Humidity: 50.90 %
20.40,50.90
Temperature: 20.40 °C, Humidity: 50.90 %
20.40,50.90
Temperature: 20.40 °C, Humidity: 51.20 %
20.40,51.20
Temperature: 20.40 °C, Humidity: 51.20 %
20.40,51.20
Temperature: 20.40 °C, Humidity: 51.00 %
20.40,51.00
Temperature: 20.40 °C, Humidity: 51.00 %
20.40,51.00
Temperature: 20.30 °C, Humidity: 51.20 %
20.30,51.20
Temperature: 20.30 °C, Humidity: 51.20 %
20.30,51.20
Temperature: 20.30 °C, Humidity: 51.20 %
20.30,51.20
Temperature: 20.30 °C, Humidity: 51.20 %
20.30,51.20
Temperature: 20.20 °C, Humidity: 51.20 %
20.20,51.20
Temperature: 20.20 °C, Humidity: 51.20 %
20.20,51.20
Temperature: 20.20 °C, Humidity: 51.20 %
20.20,51.20
Temperature: 20.20 °C, Humidity: 51.20 %
20.20,51.20
Temperature: 20.20 °C, Humidity: 51.40 %
20.20,51.40
Temperature: 20.20 °C, Humidity: 51.40 %
20.20,51.40
Temperature: 20.10 °C, Humidity: 51.30 %
20.10,51.30
Temperature: 20.10 °C, Humidity: 51.30 %
20.10,51.30
Temperature: 20.10 °C, Humidity: 51.30 %
20.10,51.30
Temperature: 20.10 °C, Humidity: 51.30 %
20.10,51.30
Temperature: 20.10 °C, Humidity: 51.50 %
20.10,51.50
Temperature: 20.10 °C, Humidity: 51.50 %
20.10,51.50
Temperature: 20.00 °C, Humidity: 51.30 %
20.00,51.30
Temperature: 20.00 °C, Humidity: 51.30 %
20.00,51.30
Temperature: 20.00 °C, Humidity: 51.40 %
20.00,51.40
Temperature: 20.00 °C, Humidity: 51.40 %
20.00,51.40
Temperature: 20.00 °C, Humidity: 51.60 %
20.00,51.60
Temperature: 20.00 °C, Humidity: 51.60 %
20.00,51.60
Temperature: 19.90 °C, Humidity: 51.50 %
19.90,51.50
Temperature: 19.90 °C, Humidity: 51.50 %
19.90,51.50
Temperature: 19.90 °C, Humidity: 51.70 %
19.90,51.70
Temperature: 19.90 °C, Humidity: 51.70 %
19.90,51.70
Temperature: 19.80 °C, Humidity: 51.50 %
19.80,51.50
Temperature: 19.80 °C, Humidity: 51.50 %
19.80,51.50
Temperature: 19.80 °C, Humidity: 51.80 %
19.80,51.80
Temperature: 19.80 °C, Humidity: 51.80 %
19.80,51.80
Temperature: 19.80 °C, Humidity: 51.80 %
19.80,51.80
Temperature: 19.80 °C, Humidity: 51.80 %
19.80,51.80
Temperature: 19.70 °C, Humidity: 51.70 %
19.70,51.70
Temperature: 19.70 °C, Humidity: 51.70 %
19.70,51.70
Temperature: 19.70 °C, Humidity: 51.90 %
19.70,51.90
Temperature: 19.70 °C, Humidity: 51.90 %
19.70,51.90
Temperature: 19.70 °C, Humidity: 51.80 %
19.70,51.80
Temperature: 19.70 °C, Humidity: 51.80 %
19.70,51.80
Temperature: 19.70 °C, Humidity: 52.00 %
19.70,52.00
Temperature: 19.70 °C, Humidity: 52.00 %
19.70,52.00
Temperature: 19.60 °C, Humidity: 52.00 %
19.60,52.00
Temperature: 19.60 °C, Humidity: 52.00 %
19.60,52.00
Temperature: 19.60 °C, Humidity: 52.10 %
19.60,52.10
Temperature: 19.60 °C, Humidity: 52.10 %
19.60,52.10
Temperature: 19.60 °C, Humidity: 52.00 %
19.60,52.00
Temperature: 19.60 °C, Humidity: 52.00 %
19.60,52.00
Temperature: 19.60 °C, Humidity: 51.90 %
19.60,51.90
Temperature: 19.60 °C, Humidity: 51.90 %
19.60,51.90
Temperature: 19.50 °C, Humidity: 52.00 %
19.50,52.00
Temperature: 19.50 °C, Humidity: 52.00 %
19.50,52.00
Temperature: 19.50 °C, Humidity: 52.00 %
19.50,52.00
Temperature: 19.50 °C, Humidity: 52.00 %
19.50,52.00
Temperature: 19.50 °C, Humidity: 51.90 %
19.50,51.90
Temperature: 19.50 °C, Humidity: 51.90 %
19.50,51.90
Temperature: 19.50 °C, Humidity: 51.90 %
19.50,51.90
Temperature: 19.50 °C, Humidity: 51.90 %
19.50,51.90
Temperature: 19.40 °C, Humidity: 52.00 %
19.40,52.00
Temperature: 19.40 °C, Humidity: 52.00 %
19.40,52.00
Temperature: 19.40 °C, Humidity: 52.00 %
19.40,52.00
Temperature: 19.40 °C, Humidity: 52.00 %
19.40,52.00
Temperature: 19.40 °C, Humidity: 52.10 %
19.40,52.10
Temperature: 19.40 °C, Humidity: 52.10 %
19.40,52.10
Temperature: 19.40 °C, Humidity: 52.00 %
19.40,52.00
Temperature: 19.40 °C, Humidity: 52.00 %
19.40,52.00
Temperature: 19.30 °C, Humidity: 52.10 %
19.30,52.10
Temperature: 19.30 °C, Humidity: 52.10 %
19.30,52.10
Temperature: 19.30 °C, Humidity: 52.10 %
19.30,52.10
Temperature: 19.30 °C, Humidity: 52.10 %
19.30,52.10
Temperature: 19.30 °C, Humidity: 52.20 %
19.30,52.20
Temperature: 19.30 °C, Humidity: 52.20 %
19.30,52.20
Temperature: 19.30 °C, Humidity: 52.10 %
19.30,52.10
Temperature: 19.30 °C, Humidity: 52.10 %
19.30,52.10
Temperature: 19.30 °C, Humidity: 52.20 %
19.30,52.20
Temperature: 19.30 °C, Humidity: 52.20 %
19.30,52.20
Temperature: 19.20 °C, Humidity: 52.20 %
19.20,52.20
Temperature: 19.20 °C, Humidity: 52.20 %
19.20,52.20
Temperature: 19.20 °C, Humidity: 52.10 %
19.20,52.10
Temperature: 19.20 °C, Humidity: 52.10 %
19.20,52.10
Temperature: 19.10 °C, Humidity: 52.30 %
19.10,52.30
Temperature: 19.10 °C, Humidity: 52.30 %
19.10,52.30
Temperature: 19.20 °C, Humidity: 52.30 %
19.20,52.30
Temperature: 19.20 °C, Humidity: 52.30 %
19.20,52.30
Temperature: 19.10 °C, Humidity: 52.30 %
19.10,52.30
Temperature: 19.10 °C, Humidity: 52.30 %
19.10,52.30
Temperature: 19.10 °C, Humidity: 52.40 %
19.10,52.40
Temperature: 19.10 °C, Humidity: 52.40 %
19.10,52.40
